age_group,total_2019,total_2020,total_2021,total_2022
10,1807,2197,2068,1887
10,4078,4854,4949,4299
10,62697,53258,64179,57189
10,222602,224932,208437,208793
20,274358,306446,296718,264166
20,334025,334662,371058,338938
20,407544,389760,393650,418965
20,454737,452722,440058,433535
20,504303,492927,492427,472820
20,540063,537839,527536,520639
20,566066,567335,567317,551456
20,596583,587474,590991,587777
20,595097,615206,606356,608485
20,559503,610032,631280,620436
30,562758,570894,623448,643431
30,567158,572244,581433,633679
30,566504,575356,580821,589883
30,579769,573585,582844,588027
30,602933,585842,580032,589092
30,613950,608160,591320,585741
30,694134,618617,612848,595975
30,762603,698581,622738,617125
30,778153,766562,702492,626144
30,775058,781463,769982,705631
40,767920,778170,784381,772943
40,669653,770515,780647,786894
40,718644,671861,772832,782727
40,702948,720619,673530,774573
40,723208,704551,721882,674994
40,781660,724755,705716,723051
40,807859,783164,725862,706784
40,807369,809326,783943,726738
40,844989,808497,810389,784731
40,817224,846221,809234,811077
50,813344,818268,846850,809800
50,807054,814321,818840,847168
50,741980,807708,814728,819148
50,697115,742260,807802,814713
50,718262,697170,742318,807626
50,695873,718094,696683,741802
50,655937,695602,717262,695837
50,712643,655467,694670,716480
50,719807,711597,654338,693512
50,711831,718354,709908,653137
60,645013,710207,716338,708128
60,579768,643329,707959,714086
60,560994,577898,640822,705584
60,492433,558857,575369,638212
60,492408,490174,555982,572544
65,405154,489449,487015,552339
65,338357,402234,485653,483145
65,356449,335337,398576,481369
65,242328,352874,331848,394290
65,247943,239181,348393,327484
65,236364,242273,234163,340172
65,221793,229580,235866,227006
65,207821,213970,222111,227241
65,158179,199341,205562,212387
65,128492,150848,190245,195311
65,122507,121235,142023,179050
65,110257,114058,112428,131898
65,120349,101588,104247,104140
65,90317,109370,92550,94589
65,70857,81295,98557,81678
65,63691,62824,72430,86022
65,50678,55780,54882,62482
65,41060,43644,48476,46654
65,32586,34855,37887,40251
65,25877,27561,29939,30685
65,19132,21584,23107,23873
65,13425,15783,17679,18291
65,10123,10958,12746,13903
65,6657,8161,8770,9934
65,4660,5358,6474,6738
65,3918,3731,4189,4965
65,2584,3139,2930,3172
65,1758,2019,2486,2183
65,1041,1395,1588,1889
65,689,825,1078,1200
65,542,567,649,827
65,512,447,443,500
65,348,418,355,337
65,193,301,350,299
65,524,649,843,1054
