시간대,입구-1종,입구-2종,입구-3종,입구-4종,입구-5종,출구-1종,출구-2종,출구-3종,출구-4종,출구-5종,점유율
00 ~ 01,2266519,86990,46585,99671,90451,2758808,82489,59624,92853,98633,1.16
01 ~ 02,1424840,92447,40772,93310,99455,1686107,87985,37690,96764,98062,0.77
02 ~ 03,1065518,100538,43790,78569,108245,1197769,93609,39910,103824,110505,0.6
03 ~ 04,1123022,127886,60023,88135,156425,1050080,111999,45270,111620,144359,0.61
04 ~ 05,2307490,184323,100678,138525,243355,1546115,139430,67952,150054,210660,1.04
05 ~ 06,7566886,301576,253629,197676,331636,5069618,213462,176806,216667,334766,2.99
06 ~ 07,11889225,380784,362799,188139,290582,9450591,352002,342266,285782,398474,4.87
07 ~ 08,13038414,303262,380171,143558,256888,11845679,333740,358733,212701,330336,5.54
08 ~ 09,13157418,319493,338552,178801,321072,12547932,320796,314056,207768,335500,5.71
09 ~ 10,13157726,366369,318681,241370,388016,12693613,371028,326381,242586,356362,5.79
10 ~ 11,12785098,387796,307507,280414,407719,12885392,408247,330915,287291,383218,5.79
11 ~ 12,12186621,388833,292969,275651,382189,12784425,398850,321084,287470,400316,5.64
12 ~ 13,12175154,353960,282535,249067,330280,12475975,385300,317135,289687,373470,5.54
13 ~ 14,13033266,329855,268191,222832,301065,13125725,343178,285368,248833,331526,5.8
14 ~ 15,13386089,333621,279507,237650,317171,13615728,352686,288092,243139,326974,5.98
15 ~ 16,13748005,288670,260274,213197,267470,14185433,334508,274010,218807,277629,6.12
16 ~ 17,14598978,239271,234858,178878,203224,14948391,277227,247335,170619,199279,6.37
17 ~ 18,14145053,191903,234249,146983,145558,15225812,207310,222448,124540,129107,6.27
18 ~ 19,12682541,151875,221459,140969,113732,14513813,155837,257800,108158,96114,5.79
19 ~ 20,10502046,144515,201124,154425,123779,12516347,137790,261981,122378,96389,4.94
20 ~ 21,9384515,113362,167963,147279,127788,10755135,111225,212981,120847,102424,4.33
21 ~ 22,8071474,101228,133284,121794,112936,9461913,88779,170000,106090,102021,3.76
22 ~ 23,5740810,93762,116122,109845,101517,7179654,84032,132772,105157,104234,2.8
23 ~ 24,3547136,84350,81424,103787,96967,4500922,76630,103312,102970,105294,1.79
