age_group,2018,2019,2020,2021,2022
10,36985,37089,35984,35549,37133
20,362977,349158,350807,354728,351969
20,668646,682088,695244,691571,687724
30,709902,706786,709338,720333,739716
30,843554,807262,771581,729865,690463
40,843505,819506,807560,797573,789702
40,1017097,1005926,967588,911575,867192
50,881954,904989,927649,963520,977286
50,856033,853947,838453,815555,810157
60,690393,731617,758855,782543,792721
65,406351,443390,499411,554001,589322
65,248073,266832,287212,294928,323033
65,132295,137033,142789,149704,160101
65,60295,65245,72071,81091,88840
