연령대,성별,1종_대형,1종_보통,1종_소형,1종_대형견인,1종_소형견인,1종_구난,2종_보통,2종_소형,2종_원자
16 - 19,남,724 ,123916 ,0 ,0 ,0 ,3 ,49060 ,333 ,11000 
16 - 19,여,44 ,17336 ,0 ,0 ,0 ,0 ,76813 ,9 ,395 
20 - 24,남,57332 ,716912 ,0 ,64 ,18 ,135 ,391550 ,1465 ,10511 
20 - 24,여,3676 ,113683 ,0 ,3 ,9 ,2 ,697757 ,104 ,690 
25 - 29,남,122298 ,1069951 ,0 ,154 ,69 ,168 ,458001 ,1601 ,8289 
25 - 29,여,6901 ,188130 ,0 ,8 ,34 ,2 ,1066862 ,185 ,827 
30 - 34,남,133178 ,1152391 ,0 ,136 ,192 ,139 ,329439 ,974 ,5087 
30 - 34,여,7656 ,296626 ,0 ,17 ,88 ,1 ,1021504 ,104 ,1046 
35 - 39,남,177088 ,1335502 ,0 ,131 ,325 ,102 ,258261 ,884 ,5213 
35 - 39,여,7628 ,563504 ,0 ,18 ,149 ,3 ,948593 ,59 ,1920 
40 - 44,남,255592 ,1502684 ,0 ,205 ,351 ,105 ,225427 ,884 ,5598 
40 - 44,여,8049 ,793911 ,0 ,22 ,125 ,2 ,938875 ,39 ,1403 
45 - 49,남,314315 ,1495304 ,0 ,390 ,295 ,92 ,240986 ,775 ,5854 
45 - 49,여,6781 ,790614 ,0 ,36 ,84 ,4 ,978174 ,14 ,1426 
50 - 54,남,366410 ,1534050 ,0 ,467 ,235 ,82 ,272813 ,872 ,7866 
50 - 54,여,9193 ,831175 ,0 ,28 ,51 ,4 ,1004617 ,9 ,2666 
55 - 59,남,341084 ,1342393 ,0 ,418 ,153 ,58 ,264906 ,937 ,11395 
55 - 59,여,9024 ,670828 ,0 ,18 ,29 ,6 ,826421 ,5 ,5186 
60 - 64,남,316968 ,1263686 ,0 ,336 ,114 ,31 ,276096 ,1055 ,16901 
60 - 64,여,7166 ,555915 ,0 ,6 ,7 ,2 ,748628 ,7 ,9552 
65 - 69,남,201256 ,856660 ,1 ,193 ,60 ,13 ,226889 ,845 ,19723 
65 - 69,여,3075 ,272073 ,0 ,1 ,4 ,0 ,460373 ,2 ,10317 
70 - 74,남,93791 ,482306 ,0 ,96 ,22 ,4 ,195853 ,593 ,25234 
70 - 74,여,731 ,78883 ,0 ,0 ,0 ,0 ,201354 ,2 ,9078 
75 - 79,남,38790 ,223681 ,0 ,21 ,5 ,6 ,154343 ,403 ,32245 
75 - 79,여,142 ,17068 ,0 ,0 ,0 ,0 ,76863 ,1 ,6237 
80 - 84,남,12664 ,77072 ,4 ,10 ,2 ,1 ,91078 ,172 ,33252 
80 - 84,여,17 ,2721 ,0 ,0 ,0 ,0 ,23713 ,0 ,2908 
85 - 89,남,2106 ,14354 ,1 ,5 ,0 ,1 ,30162 ,47 ,16237 
85 - 89,여,0 ,365 ,0 ,0 ,0 ,0 ,4917 ,0 ,581 
90 - 94,남,300 ,2094 ,0 ,1 ,1 ,0 ,5811 ,12 ,3294 
90 - 94,여,0 ,65 ,0 ,0 ,0 ,0 ,652 ,0 ,41 
95 이상,남,90 ,517 ,2 ,3 ,0 ,0 ,1384 ,4 ,503 
95 이상,여,0 ,15 ,0 ,0 ,0 ,0 ,116 ,0 ,6 
